time (s)	det(V)
6458.313540	0.197514	
6458.315540	0.219160	
6458.317539	0.236282	
6458.319541	0.252791	
6458.321542	0.265730	
6458.323540	0.281611	
6458.327539	0.302465	
6458.329540	0.333691	
6458.331541	0.356127	
6458.333540	0.378865	
6458.335540	0.405013	
6458.337539	0.433022	
6458.339540	0.454583	
6458.341540	0.480024	
6458.343540	0.507541	
6458.347539	0.534231	
6458.349540	0.598028	
6458.353540	0.631539	
6458.355540	0.709483	
6458.357540	0.749504	
6458.359540	0.787674	
6458.361539	0.828055	
6458.365539	0.878769	
6458.367540	0.963881	
6458.369540	1.017807	
6458.373540	1.065432	
6458.375541	1.182045	
6458.377540	1.230345	
6458.379540	1.291132	
6458.381540	1.352477	
6458.383540	1.414477	
6458.387539	1.481848	
6458.391540	1.593905	
6458.393541	1.596998	
6458.395539	1.597024	
6458.397540	1.597066	
6458.399540	1.597051	
6458.403541	1.597080	
6458.405540	1.597068	
6458.407540	1.597024	
6458.409539	1.597092	
6458.411540	1.597071	
6458.413539	1.597097	
6458.415540	1.596974	
6458.417540	1.596938	
6458.419540	1.596939	
6458.423539	1.596990	
6458.425540	1.597117	
6458.427542	1.597206	
6458.429539	1.597189	
6458.431541	1.597107	
6458.433540	1.597010	
6458.435539	1.597005	
6458.437540	1.597037	
6458.439542	1.597038	
6458.443539	1.597019	
6458.445540	1.597096	
6458.449540	1.597167	
6458.451539	1.597060	
6458.453540	1.596980	
6458.455541	1.597001	
6458.457539	1.596984	
6458.461539	1.597129	
6458.463539	1.597154	
6458.465540	1.597079	
6458.469540	1.597147	
6458.471541	1.597086	
6458.473540	1.597019	
6458.475540	1.597034	
6458.477539	1.597018	
6458.479540	1.597100	
6458.483539	1.597101	
6458.487541	1.597122	
6458.489540	1.597090	
6458.491540	1.597055	
6458.493539	1.597056	
6458.495540	1.597063	
6458.499539	1.597034	
6458.501539	1.597105	
6458.503539	1.597123	
6458.505540	1.597097	
6458.507543	1.597092	
6458.511540	1.597034	
6458.513540	1.597080	
6458.515539	1.597064	
6458.517539	1.597110	
6458.519539	1.597134	
6458.523540	1.597134	
6458.525540	1.597188	
6458.527540	1.597069	
6458.529539	1.587404	
6458.531540	1.476926	
6458.533539	1.347395	
6458.535540	1.227504	
6458.537540	1.097785	
6458.539541	0.957366	
6458.541540	0.824791	
6458.543541	0.693890	
6458.547540	0.560165	
6458.549541	0.310947	
6458.551540	0.174819	
6458.553540	0.038382	
6458.555540	-0.099176	
6458.559539	-0.232201	
6458.561540	-0.504574	
6458.563540	-0.632298	
6458.567540	-0.765973	
6458.569540	-1.025263	
6458.571540	-1.159041	
6458.573539	-1.288777	
6458.575540	-1.417264	
6458.579539	-1.552212	
6458.581539	-1.663929	
6458.585539	-1.664108	
6458.587539	-1.664367	
6458.589540	-1.664534	
6458.591539	-1.664702	
6458.593539	-1.664846	
6458.597539	-1.664974	
6458.599541	-1.665223	
6458.601539	-1.665246	
6458.605540	-1.665352	
6458.607540	-1.665373	
6458.609539	-1.665380	
6458.611540	-1.665401	
6458.613540	-1.665385	
6458.617539	-1.665385	
6458.621539	-1.665393	
6458.623540	-1.665413	
6458.625539	-1.665433	
6458.627539	-1.665438	
6458.629541	-1.665390	
6458.631540	-1.665396	
6458.633539	-1.665448	
6458.635540	-1.665436	
6458.637540	-1.665415	
6458.639539	-1.665337	
6458.641539	-1.665360	
6458.645540	-1.665366	
6458.647539	-1.665367	
6458.649540	-1.665423	
6458.651539	-1.665475	
6458.653540	-1.665431	
6458.655539	-1.665446	
6458.657539	-1.665414	
6458.659539	-1.665460	
6458.661539	-1.665429	
6458.663539	-1.665426	
6458.667540	-1.665370	
6458.669539	-1.665410	
6458.671540	-1.665433	
6458.673540	-1.665435	
6458.675540	-1.665450	
6458.679539	-1.665402	
6458.681540	-1.665353	
6458.683539	-1.665270	
6458.687541	-1.665231	
6458.689540	-1.665128	
6458.691539	-1.665082	
6458.693539	-1.664973	
6458.695541	-1.664937	
6458.699539	-1.664857	
6458.703539	-1.664618	
6458.705540	-1.664404	
6458.707544	-1.664250	
6458.709540	-1.664170	
6458.711539	-1.664117	
6458.713540	-1.663991	
6458.717539	-1.663892	
6458.719539	-1.623647	
6458.721540	-1.555455	
6458.725540	-1.487960	
6458.727539	-1.353325	
6458.729540	-1.292477	
6458.731540	-1.239519	
6458.733540	-1.180858	
6458.737539	-1.128767	
6458.739539	-1.032125	
6458.741539	-0.984507	
6458.743539	-0.935202	
6458.745540	-0.886104	
6458.747540	-0.838623	
6458.749539	-0.796811	
6458.751540	-0.755504	
6458.755539	-0.685500	
6458.757540	-0.651364	
6458.759539	-0.620351	
6458.763540	-0.588158	
6458.765540	-0.520156	
6458.767540	-0.488015	
6458.769540	-0.464118	
6458.771539	-0.446192	
