crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-52.330399	5955	0.000000
281474976710655.000000	-71.364052	5956	0.000000
281474976710655.000000	-66.709518	5957	0.000000
281474976710655.000000	-69.395775	5958	0.000000
281474976710655.000000	-73.561623	5959	0.000000
281474976710655.000000	-69.585876	5960	0.000000
281474976710655.000000	-45.804417	5961	0.000000
281474976710655.000000	-69.299103	5962	0.000000
281474976710655.000000	-66.725388	5963	0.000000
281474976710655.000000	-69.569122	5964	0.000000
281474976710655.000000	-67.307999	5965	0.000000
281474976710655.000000	-71.342400	5966	0.000000
281474976710655.000000	-65.329697	5967	0.000000
281474976710655.000000	-70.113411	5968	0.000000
281474976710655.000000	-66.717575	5969	0.000000
281474976710655.000000	-45.598816	5970	0.000000
281474976710655.000000	-106.846886	5971	0.000000
281474976710655.000000	-62.002979	5972	0.000000
281474976710655.000000	-70.618095	5973	0.000000
281474976710655.000000	-97.796303	5974	0.000000
281474976710655.000000	-67.547348	5975	0.000000
281474976710655.000000	-47.218655	5976	0.000000
281474976710655.000000	-68.940506	5977	0.000000
281474976710655.000000	-34.301376	5978	0.000000
281474976710655.000000	-133.469040	5979	0.000000
281474976710655.000000	-127.001396	5980	0.000000
281474976710655.000000	-67.989090	5981	0.000000
281474976710655.000000	-43.052094	5982	0.000000
281474976710655.000000	-66.593971	5983	0.000000
281474976710655.000000	-52.502972	5984	0.000000
281474976710655.000000	-65.346947	5985	0.000000
281474976710655.000000	-66.101173	5986	0.000000
281474976710655.000000	-64.533279	5987	0.000000
281474976710655.000000	-64.381264	5988	0.000000
281474976710655.000000	-67.122238	5989	0.000000
281474976710655.000000	-45.172451	5990	0.000000
281474976710655.000000	-62.447086	5991	0.000000
281474976710655.000000	-130.933701	5992	0.000000
281474976710655.000000	-47.506363	5993	0.000000
281474976710655.000000	-67.508995	5994	0.000000
281474976710655.000000	-49.166416	5995	0.000000
281474976710655.000000	-66.901466	5996	0.000000
281474976710655.000000	-68.372688	5997	0.000000
281474976710655.000000	-43.902012	5998	0.000000
281474976710655.000000	-61.373596	5999	0.000000
281474976710655.000000	-43.019238	6000	0.000000
281474976710655.000000	-41.982811	6001	0.000000
281474976710655.000000	-63.842350	6002	0.000000
281474976710655.000000	-129.279526	6003	0.000000
281474976710655.000000	-97.795807	6004	0.000000
281474976710655.000000	-48.544991	6005	0.000000
281474976710655.000000	-64.311996	6006	0.000000
281474976710655.000000	-62.811771	6007	0.000000
281474976710655.000000	-48.760082	6008	0.000000
281474976710655.000000	-62.317966	6009	0.000000
281474976710655.000000	-65.350441	6010	0.000000
281474976710655.000000	-68.415131	6011	0.000000
281474976710655.000000	-98.212418	6012	0.000000
281474976710655.000000	-96.591805	6013	0.000000
281474976710655.000000	-50.229042	6014	0.000000
281474976710655.000000	-91.426369	6015	0.000000
281474976710655.000000	-42.259834	6016	0.000000
281474976710655.000000	-30.180300	6017	0.000000
