num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
6211	6722.587262	54.480987	-16.984646	3.371336	43.608563
6213	6724.661979	54.410573	-16.973564	3.371766	43.821901
6215	6726.737610	54.356402	-17.037715	3.369828	45.355484
6217	6728.812375	54.234966	-17.050270	3.369728	42.984948
6221	6732.957019	54.186789	-17.138025	3.367335	43.919113
6223	6735.026895	54.126489	-17.158074	3.364327	45.013346
6225	6737.095619	54.111188	-17.192539	3.363791	42.863556
6229	6741.229144	54.234925	-17.215358	3.360761	42.028542
6231	6743.295216	54.001859	-17.116286	3.363299	41.827501
6233	6745.362178	53.967184	-17.198568	3.362177	41.146673
6235	6747.431316	53.863753	-17.192973	3.360037	39.574103
6237	6749.501259	53.756950	-17.169811	3.357551	38.640065
6239	6751.572288	53.733350	-17.203092	3.352186	38.645490
6241	6753.643298	53.399977	-17.239706	3.345816	38.616303
6245	6757.787690	53.138099	-17.312036	3.335878	38.578110
6247	6759.861613	53.007157	-17.294828	3.335588	41.032683
