crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-70.707497	4931	0.000000
281474976710655.000000	-71.721382	4932	0.000000
281474976710655.000000	-38.063236	4933	0.000000
281474976710655.000000	-72.155106	4934	0.000000
281474976710655.000000	-73.639305	4935	0.000000
281474976710655.000000	-71.654816	4936	0.000000
281474976710655.000000	-112.394173	4937	0.000000
281474976710655.000000	-137.127213	4938	0.000000
281474976710655.000000	-48.373825	4939	0.000000
281474976710655.000000	-74.484940	4940	0.000000
281474976710655.000000	-73.650658	4941	0.000000
281474976710655.000000	-57.674221	4942	0.000000
281474976710655.000000	-72.409004	4943	0.000000
281474976710655.000000	-151.931717	4944	0.000000
281474976710655.000000	-47.724567	4945	0.000000
281474976710655.000000	-73.723381	4946	0.000000
281474976710655.000000	-73.948692	4947	0.000000
281474976710655.000000	-150.637802	4948	0.000000
281474976710655.000000	-70.009811	4949	0.000000
281474976710655.000000	-76.100883	4950	0.000000
281474976710655.000000	-46.754063	4951	0.000000
281474976710655.000000	-44.190540	4952	0.000000
281474976710655.000000	-69.551292	4953	0.000000
281474976710655.000000	-72.409798	4954	0.000000
281474976710655.000000	-74.099915	4955	0.000000
281474976710655.000000	-71.857109	4956	0.000000
281474976710655.000000	-47.399178	4957	0.000000
281474976710655.000000	-148.646042	4958	0.000000
281474976710655.000000	-106.567223	4959	0.000000
281474976710655.000000	-72.815681	4960	0.000000
281474976710655.000000	-69.129066	4961	0.000000
281474976710655.000000	-73.726318	4962	0.000000
281474976710655.000000	-109.363991	4963	0.000000
281474976710655.000000	-35.308571	4964	0.000000
281474976710655.000000	-69.687584	4965	0.000000
281474976710655.000000	-77.372513	4966	0.000000
281474976710655.000000	-70.355400	4967	0.000000
281474976710655.000000	-70.161850	4968	0.000000
281474976710655.000000	-68.351440	4969	0.000000
281474976710655.000000	-54.631493	4970	0.000000
281474976710655.000000	-68.896088	4971	0.000000
281474976710655.000000	-68.772911	4972	0.000000
281474976710655.000000	-71.119019	4973	0.000000
281474976710655.000000	-69.913498	4974	0.000000
281474976710655.000000	-69.850632	4975	0.000000
281474976710655.000000	-71.793823	4976	0.000000
281474976710655.000000	-68.927788	4977	0.000000
281474976710655.000000	-47.821335	4978	0.000000
281474976710655.000000	-45.985096	4979	0.000000
281474976710655.000000	-66.969131	4980	0.000000
281474976710655.000000	-142.806747	4981	0.000000
281474976710655.000000	-48.030479	4982	0.000000
281474976710655.000000	-45.682068	4983	0.000000
281474976710655.000000	-36.531284	4984	0.000000
281474976710655.000000	-68.259483	4985	0.000000
281474976710655.000000	-70.409370	4986	0.000000
281474976710655.000000	-65.208015	4987	0.000000
281474976710655.000000	-46.951488	4988	0.000000
281474976710655.000000	-101.281502	4989	0.000000
281474976710655.000000	-68.077057	4990	0.000000
281474976710655.000000	-43.686264	4991	0.000000
281474976710655.000000	-68.118843	4992	0.000000
281474976710655.000000	-69.308540	4993	0.000000
281474976710655.000000	-67.889801	4994	0.000000
281474976710655.000000	-66.251862	4995	0.000000
281474976710655.000000	-48.635872	4996	0.000000
281474976710655.000000	-100.322998	4997	0.000000
281474976710655.000000	-75.060730	4998	0.000000
281474976710655.000000	-66.045700	4999	0.000000
281474976710655.000000	-69.151749	5000	0.000000
281474976710655.000000	-97.549614	5001	0.000000
281474976710655.000000	-74.288086	5002	0.000000
281474976710655.000000	-129.345734	5003	0.000000
281474976710655.000000	-66.994583	5004	0.000000
281474976710655.000000	-51.771114	5005	0.000000
281474976710655.000000	-34.577877	5006	0.000000
281474976710655.000000	-51.407635	5007	0.000000
281474976710655.000000	-45.412830	5008	0.000000
281474976710655.000000	-50.622673	5009	0.000000
281474976710655.000000	-65.843048	5010	0.000000
281474976710655.000000	-63.760529	5011	0.000000
281474976710655.000000	-43.592964	5012	0.000000
281474976710655.000000	-66.541794	5013	0.000000
281474976710655.000000	-68.421150	5014	0.000000
281474976710655.000000	-48.597050	5015	0.000000
281474976710655.000000	-35.088398	5016	0.000000
281474976710655.000000	-43.017868	5017	0.000000
281474976710655.000000	-67.884544	5018	0.000000
281474976710655.000000	-66.788544	5019	0.000000
281474976710655.000000	-65.048103	5020	0.000000
281474976710655.000000	-93.701576	5021	0.000000
281474976710655.000000	-67.194366	5022	0.000000
281474976710655.000000	-60.584152	5023	0.000000
281474976710655.000000	-33.081177	5024	0.000000
281474976710655.000000	-41.664246	5025	0.000000
281474976710655.000000	-104.915520	5026	0.000000
281474976710655.000000	-100.719582	5027	0.000000
281474976710655.000000	-65.322563	5028	0.000000
281474976710655.000000	-61.279823	5029	0.000000
281474976710655.000000	-44.078732	5030	0.000000
281474976710655.000000	-40.911442	5031	0.000000
281474976710655.000000	-65.183769	5032	0.000000
281474976710655.000000	-32.155281	5033	0.000000
281474976710655.000000	-44.560062	5034	0.000000
281474976710655.000000	-63.579926	5035	0.000000
281474976710655.000000	-63.812286	5036	0.000000
281474976710655.000000	-96.148659	5037	0.000000
281474976710655.000000	-32.162937	5038	0.000000
281474976710655.000000	-48.746647	5039	0.000000
281474976710655.000000	-98.705475	5040	0.000000
281474976710655.000000	-60.280159	5041	0.000000
281474976710655.000000	-63.686512	5042	0.000000
281474976710655.000000	-61.238678	5043	0.000000
281474976710655.000000	-64.348885	5044	0.000000
281474976710655.000000	-47.688400	5045	0.000000
281474976710655.000000	-66.273773	5046	0.000000
281474976710655.000000	-63.410988	5047	0.000000
281474976710655.000000	-65.557480	5048	0.000000
281474976710655.000000	-61.281155	5049	0.000000
281474976710655.000000	-69.148598	5050	0.000000
281474976710655.000000	-46.648270	5051	0.000000
281474976710655.000000	-62.870716	5052	0.000000
281474976710655.000000	-40.117893	5053	0.000000
281474976710655.000000	-61.374477	5054	0.000000
281474976710655.000000	-59.375027	5055	0.000000
281474976710655.000000	-41.117382	5056	0.000000
281474976710655.000000	-46.550419	5057	0.000000
281474976710655.000000	-64.789108	5058	0.000000
281474976710655.000000	-60.172882	5059	0.000000
281474976710655.000000	-63.603859	5060	0.000000
281474976710655.000000	-58.675102	5061	0.000000
281474976710655.000000	-68.220879	5062	0.000000
281474976710655.000000	-61.055634	5063	0.000000
281474976710655.000000	-58.856556	5064	0.000000
281474976710655.000000	-40.315899	5065	0.000000
281474976710655.000000	-97.570885	5066	0.000000
281474976710655.000000	-58.935211	5067	0.000000
281474976710655.000000	-41.900742	5068	0.000000
281474976710655.000000	-90.450058	5069	0.000000
281474976710655.000000	-61.503967	5070	0.000000
281474976710655.000000	-38.261169	5071	0.000000
281474976710655.000000	-40.515549	5072	0.000000
281474976710655.000000	-46.333500	5073	0.000000
281474976710655.000000	-61.232704	5074	0.000000
281474976710655.000000	-56.013954	5075	0.000000
281474976710655.000000	-46.571148	5076	0.000000
281474976710655.000000	-59.483532	5077	0.000000
281474976710655.000000	-60.088913	5078	0.000000
281474976710655.000000	-63.856876	5079	0.000000
281474976710655.000000	-61.872185	5080	0.000000
281474976710655.000000	-58.211712	5081	0.000000
281474976710655.000000	-59.977375	5082	0.000000
281474976710655.000000	-115.587425	5083	0.000000
281474976710655.000000	-40.289433	5084	0.000000
281474976710655.000000	-61.585697	5085	0.000000
281474976710655.000000	-41.649731	5086	0.000000
281474976710655.000000	-57.314743	5087	0.000000
281474976710655.000000	-59.241421	5088	0.000000
281474976710655.000000	-57.838734	5089	0.000000
281474976710655.000000	-49.910217	5090	0.000000
281474976710655.000000	-38.668583	5091	0.000000
