num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4929	5371.764038	69.905217	-11.094080	1.526172	70.930954
4931	5373.834946	69.895919	-11.057065	1.529390	71.866787
4933	5375.906160	69.785756	-10.903172	1.532663	71.714546
4937	5380.055505	69.066921	-10.852267	1.532246	71.567125
4939	5382.137873	68.923135	-10.868663	1.521166	67.631247
4941	5384.218947	68.954763	-10.723293	1.511714	73.189552
4945	5388.364917	68.961111	-10.422104	1.512080	75.232839
4947	5390.435331	69.000991	-10.354674	1.515940	71.822102
4949	5392.506898	68.770935	-10.145316	1.519125	71.587303
4953	5396.647095	69.230438	-10.122098	1.522984	72.458188
4955	5398.711603	69.641389	-10.199350	1.517902	71.272451
4957	5400.771587	69.489362	-10.056653	1.505596	70.218521
4959	5402.834626	69.130781	-9.929111	1.499420	74.081513
4961	5404.902136	68.639222	-9.743546	1.501377	72.053991
4963	5406.972436	68.468259	-9.685903	1.504838	70.652888
4965	5409.043128	68.469735	-9.618588	1.506489	73.100606
4969	5413.192023	67.773425	-9.525756	1.508062	69.655439
4971	5415.273280	67.621000	-9.552406	1.496344	69.168851
4973	5417.354862	67.463383	-9.412866	1.490708	71.498067
4977	5421.502637	67.619904	-9.171986	1.489332	71.012685
4979	5423.572699	67.585275	-9.093086	1.492459	68.335173
4981	5425.643594	67.462271	-8.897916	1.495985	69.171122
4985	5429.784627	67.483705	-8.809240	1.501502	68.526522
4987	5431.848782	68.120508	-8.828167	1.497167	68.604631
4989	5433.909013	68.092095	-8.776309	1.485203	66.814280
4993	5438.038332	67.277116	-8.461181	1.477777	69.093969
4995	5440.108058	67.081085	-8.384315	1.484035	67.651032
4997	5442.178908	66.969666	-8.342005	1.486497	66.707203
4999	5444.253699	66.892312	-8.557622	1.491871	67.948665
5001	5446.329761	66.648376	-8.380333	1.478837	64.885599
5003	5448.410375	66.236711	-8.299511	1.477706	65.988449
5005	5450.491662	66.214174	-8.130266	1.470375	64.853513
5007	5452.567095	66.213062	-7.916117	1.468953	68.529896
5009	5454.639369	66.215793	-7.834983	1.470269	68.891066
5013	5458.781040	66.118971	-7.778548	1.476385	64.659478
5015	5460.852056	65.934716	-7.595543	1.482579	66.091470
5017	5462.921041	66.324131	-7.634773	1.483531	65.640404
5021	5467.045756	66.763290	-7.585670	1.464896	66.632211
5023	5469.108001	66.411901	-7.432846	1.464374	67.628854
5025	5471.174720	66.070353	-7.288615	1.464629	67.576962
5027	5473.244409	65.973816	-7.247091	1.466197	67.540463
5029	5475.315584	65.611740	-7.124179	1.469910	64.224474
5031	5477.389008	65.455140	-7.058019	1.473027	65.602046
5033	5479.466684	65.064017	-7.092006	1.467930	63.143505
5035	5481.548223	64.906293	-6.997074	1.461042	63.441689
5037	5483.628788	65.018726	-7.032271	1.453892	63.389888
5039	5485.703701	64.861232	-6.771319	1.452241	63.146513
5043	5489.845292	64.835768	-6.582341	1.460420	63.954723
5045	5491.916634	64.776994	-6.578881	1.463111	63.936470
5047	5493.987331	64.667363	-6.436449	1.467409	63.312449
5049	5496.054616	64.970769	-6.420171	1.467621	64.437384
5051	5498.117442	65.495984	-6.441746	1.458789	62.100328
5055	5502.241472	64.797254	-6.176181	1.450447	63.896350
5057	5504.309276	64.873840	-6.122125	1.451870	63.029698
5059	5506.379581	64.549103	-6.086266	1.454352	62.538766
5061	5508.451498	64.336848	-6.062274	1.457237	60.197648
5063	5510.526930	64.176117	-5.967991	1.458415	60.274242
5065	5512.606777	63.714789	-5.981428	1.450446	61.827317
5067	5514.688366	63.941318	-5.856901	1.443795	63.620268
5071	5518.839134	63.741176	-5.607468	1.441108	62.796513
5073	5520.909841	63.658893	-5.542132	1.445452	62.026831
5075	5522.980594	63.357121	-5.513559	1.448511	57.851735
5077	5525.052074	63.304824	-5.401823	1.452290	59.362304
5079	5527.121075	63.617552	-5.373615	1.454912	59.377792
5081	5529.185863	64.069993	-5.371726	1.452569	60.981105
5083	5531.246860	64.198970	-5.323183	1.442172	62.196931
5087	5535.374469	63.791058	-5.100728	1.438308	60.199046
5089	5537.443445	63.508359	-5.079565	1.440811	56.670676
5091	5539.514775	63.258320	-5.027151	1.444558	59.552715
5093	5541.588736	62.925223	-4.898058	1.447442	58.543500
5095	5543.667250	62.682992	-4.971612	1.442502	59.482094
5097	5545.749057	62.525372	-4.878467	1.433781	60.315030
5101	5549.902629	62.644915	-4.518305	1.431843	59.043069
5103	5551.973865	62.500679	-4.545086	1.433508	57.117896
5105	5554.044960	62.307744	-4.461385	1.436963	57.194349
5109	5558.184836	62.323496	-4.291320	1.444340	58.811374
5111	5560.251159	62.526905	-4.417999	1.446405	58.365780
5113	5562.313262	63.097125	-4.321668	1.437530	57.051808
5117	5566.438468	62.643996	-4.100734	1.430033	59.769109
5119	5568.506397	62.265326	-4.068765	1.431334	56.940233
5121	5570.577236	62.206651	-3.971201	1.434472	55.087132
5123	5572.650684	61.886923	-3.952695	1.438779	57.884323
5125	5574.727907	61.402469	-3.898630	1.436250	54.107516
5127	5576.808760	61.346885	-3.914244	1.429081	55.060284
5131	5580.965078	61.250995	-3.660726	1.421358	54.995127
5133	5583.037235	61.373647	-3.560956	1.424489	54.355513
5135	5585.107811	61.215221	-3.534831	1.427335	54.472039
5139	5589.249188	61.238713	-3.382184	1.436945	55.749250
5141	5591.316548	61.488867	-3.364982	1.437699	57.750574
5143	5593.378939	61.918349	-3.357961	1.431630	55.444123
5145	5595.439496	61.805078	-3.297759	1.425712	54.403043
5147	5597.502843	61.738747	-3.225345	1.423546	51.444419
5149	5599.569985	61.406401	-3.095378	1.424108	55.012748
5151	5601.640454	61.146054	-3.042924	1.428315	53.270088
5153	5603.713264	60.967817	-2.972668	1.431218	53.763540
5155	5605.789861	60.708467	-2.958939	1.431525	52.712242
5159	5609.951321	60.228524	-2.913786	1.417923	54.287053
5161	5612.028319	60.299743	-2.769616	1.415974	52.105358
5163	5614.100564	60.318359	-2.665966	1.417578	52.202951
5167	5618.242459	60.059601	-2.541349	1.425686	53.895165
5169	5620.312574	60.163885	-2.476230	1.430265	51.655296
5171	5622.380101	60.338429	-2.424705	1.432134	52.502894
5173	5624.442663	60.674536	-2.465707	1.426500	54.460285
5175	5626.503594	60.988818	-2.423254	1.421123	54.923446
5177	5628.566366	60.507674	-2.346128	1.417323	51.526026
5179	5630.633211	60.355364	-2.132648	1.419504	52.190493
5181	5632.703167	60.037987	-2.177708	1.421229	52.254072
5183	5634.776052	59.868531	-2.115201	1.425422	52.465242
5185	5636.852293	59.542659	-2.065257	1.426224	50.145098
5189	5641.013481	59.297505	-2.013031	1.414338	52.046398
5191	5643.090554	59.448664	-1.924199	1.412531	52.538858
5195	5647.234388	59.172812	-1.688346	1.417431	50.836985
5197	5649.305398	59.120460	-1.644608	1.421687	51.022937
5199	5651.375768	59.035259	-1.591145	1.428347	48.472737
5201	5653.443185	59.358475	-1.601686	1.427663	51.583091
5203	5655.505823	59.640483	-1.573853	1.423609	52.617886
5205	5657.566648	59.539407	-1.525213	1.415997	51.518372
5209	5661.696245	59.365962	-1.295219	1.416908	49.921391
5211	5663.765905	59.123654	-1.318661	1.419461	48.704337
5213	5665.839123	58.846106	-1.183564	1.422685	49.562667
5215	5667.915291	58.458913	-1.282813	1.421259	48.874810
