time (s)	det(V)
6008.103540	-0.028076	
6008.105539	-0.026734	
6008.107540	-0.027125	
6008.111539	-0.027822	
6008.113540	-0.029478	
6008.115540	-0.036486	
6008.119540	-0.035384	
6008.121540	-0.032391	
6008.123539	-0.029879	
6008.125540	-0.033145	
6008.127540	-0.028286	
6008.129541	-0.032402	
6008.133539	-0.038968	
6008.137540	-0.042288	
6008.139540	-0.033986	
6008.141541	-0.033920	
6008.143540	-0.035972	
6008.145540	-0.034231	
6008.149539	-0.034040	
6008.151540	-0.043228	
6008.153541	-0.043360	
6008.155540	-0.044964	
6008.157543	-0.037557	
6008.159540	-0.037141	
6008.161540	-0.033083	
6008.163540	-0.032626	
6008.165539	-0.038340	
6008.169539	-0.037438	
6008.171540	-0.045499	
6008.173539	-0.040566	
6008.175539	-0.042224	
6008.177540	-0.035769	
6008.179540	-0.031291	
6008.181540	-0.036016	
6008.183539	-0.035377	
6008.185539	-0.034235	
6008.189539	-0.038509	
6008.191540	-0.036583	
6008.195540	-0.037341	
6008.197540	-0.027424	
6008.199540	-0.030470	
6008.201540	-0.027723	
6008.203539	-0.025437	
6008.207539	-0.026474	
6008.209540	-0.025667	
6008.211540	-0.026644	
6008.215541	-0.021935	
6008.217540	-0.014648	
6008.219539	-0.014729	
6008.221540	-0.014682	
6008.223540	-0.006265	
6008.227539	-0.006828	
6008.229539	-0.003555	
6008.233540	-0.004900	
6008.235540	0.007958	
6008.237539	0.010187	
6008.239539	0.016201	
6008.241540	0.023157	
6008.245539	0.027889	
6008.247540	0.032171	
6008.249540	0.035769	
6008.253540	0.041268	
6008.255539	0.060608	
6008.257542	0.069167	
6008.259539	0.078184	
6008.261540	0.086677	
6008.265539	0.096828	
6008.267539	0.107620	
6008.271540	0.119144	
6008.273542	0.149668	
6008.275539	0.160009	
6008.277539	0.171952	
6008.279540	0.188141	
6008.283539	0.199493	
6008.285539	0.225977	
6008.287540	0.243106	
6008.289540	0.262857	
6008.291540	0.288087	
6008.293540	0.309302	
6008.295541	0.332008	
6008.297540	0.350953	
6008.299541	0.374873	
6008.303539	0.396876	
6008.305540	0.442413	
6008.307540	0.476574	
6008.309540	0.510194	
6008.311540	0.546619	
6008.313540	0.584578	
6008.315540	0.613531	
6008.317539	0.652956	
6008.319539	0.695007	
6008.323539	0.732780	
6008.325539	0.822127	
6008.329540	0.872139	
6008.331540	0.980708	
6008.333540	1.034537	
6008.335539	1.091947	
6008.337539	1.156121	
6008.341539	1.213570	
6008.343540	1.339029	
6008.345540	1.409990	
6008.347540	1.489619	
6008.349543	1.566631	
6008.351540	1.596188	
6008.353540	1.597001	
6008.355539	1.597049	
6008.357539	1.597059	
6008.361539	1.597103	
6008.363540	1.597120	
6008.365540	1.597137	
6008.367539	1.597151	
6008.369540	1.597150	
6008.371540	1.597027	
6008.373539	1.597068	
6008.375539	1.597091	
6008.377540	1.597071	
6008.381539	1.597049	
6008.385540	1.597191	
6008.387546	1.597148	
6008.389540	1.597098	
6008.391539	1.597084	
6008.393541	1.597072	
6008.395540	1.597051	
6008.399539	1.597047	
6008.401539	1.597161	
6008.403540	1.597088	
6008.407540	1.597182	
