num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5517	6007.476730	70.924387	-14.256184	2.588422	71.020075
5519	6009.554399	70.635932	-14.257154	2.584267	68.728921
5521	6011.631857	70.481281	-14.134017	2.580139	70.933403
5523	6013.707064	70.416925	-14.007682	2.577941	72.409181
5525	6015.780538	70.381987	-13.972335	2.575198	71.201904
5527	6017.851959	70.384828	-13.983378	2.570881	70.493033
5529	6019.921309	70.462822	-14.034606	2.570373	70.572996
5531	6021.988738	70.637138	-14.133644	2.563376	70.131967
5533	6024.054918	70.531433	-14.134745	2.557028	69.912268
5535	6026.121526	70.613773	-14.163531	2.549851	73.108456
5537	6028.190068	70.264691	-14.046206	2.548545	73.090147
5541	6032.332490	69.825388	-13.958670	2.548686	75.628695
5543	6034.404007	69.768609	-13.840974	2.549716	73.929619
5545	6036.475925	69.634085	-13.784019	2.550223	69.967592
5549	6040.624307	69.551644	-14.122551	2.543427	68.492488
5551	6042.701290	69.011834	-14.022451	2.535609	68.149704
5553	6044.778425	69.030217	-13.933702	2.533019	66.711941
5555	6046.854482	68.949500	-13.782518	2.530623	65.898880
5557	6048.928112	68.867825	-13.809740	2.526816	66.875029
5559	6050.999944	68.945660	-13.682854	2.527276	65.573231
5561	6053.069384	69.027941	-13.738171	2.523586	66.028819
5563	6055.136991	69.148019	-13.811968	2.515895	67.986255
5565	6057.203525	69.249586	-13.919079	2.508935	64.931058
5567	6059.269939	69.174164	-13.860923	2.504635	71.682510
5569	6061.338055	68.713283	-13.801000	2.499138	70.057150
5571	6063.407926	68.390624	-13.679889	2.498928	69.171570
5575	6067.550596	68.530620	-13.556443	2.503085	71.675356
5577	6069.622494	68.230797	-13.550050	2.503310	69.594595
5579	6071.695375	68.156700	-13.571825	2.501268	65.854447
5583	6075.847324	67.904906	-13.718214	2.491490	66.027032
5585	6077.924744	67.506394	-13.553645	2.486819	65.785678
5587	6080.000757	67.466420	-13.582777	2.483871	63.481332
5589	6082.074932	67.353827	-13.572117	2.477429	67.047702
5591	6084.146693	67.171786	-13.407135	2.477676	64.342409
5593	6086.216692	67.508940	-13.479604	2.477094	64.133293
5595	6088.284386	67.779176	-13.547620	2.472629	66.591170
5597	6090.350312	67.923466	-13.622774	2.463778	63.509227
5599	6092.416492	67.844786	-13.587368	2.458723	66.300381
5601	6094.484201	67.411726	-13.562963	2.452550	65.223369
5605	6098.624889	66.885764	-13.409772	2.451688	67.102692
5607	6100.695926	67.042627	-13.374978	2.456401	66.026801
5609	6102.767928	66.990791	-13.362061	2.456217	65.026612
5613	6106.916783	66.541652	-13.436419	2.449993	62.030402
5615	6108.994020	66.504394	-13.482400	2.443057	62.608360
5617	6111.071079	66.172462	-13.395575	2.438629	66.220229
5619	6113.146629	66.066147	-13.270917	2.438580	62.993387
5621	6115.220068	66.043081	-13.229034	2.438195	61.746153
5623	6117.291493	66.103777	-13.148049	2.436295	60.678364
5625	6119.360744	66.271016	-13.249753	2.430983	63.394551
5627	6121.428461	66.414584	-13.293294	2.426041	61.267020
5629	6123.494480	66.617455	-13.367247	2.417473	61.401825
5631	6125.560484	66.467581	-13.258726	2.414284	63.781437
5633	6127.628464	66.024144	-13.201679	2.410092	65.125931
5635	6129.698260	65.764765	-13.141798	2.409291	64.269432
5639	6133.840544	65.601656	-13.040351	2.411147	62.710883
5641	6135.912813	65.800952	-13.092984	2.412187	64.557017
5643	6137.987034	65.472407	-13.073581	2.409428	61.269376
5645	6140.062800	65.292543	-13.143028	2.404283	60.880242
5647	6142.140230	65.215663	-13.091063	2.400507	60.541363
5649	6144.217057	64.897528	-13.039603	2.397019	60.659311
5651	6146.291883	64.785854	-12.913357	2.397093	58.692027
5653	6148.364683	64.797304	-12.942058	2.394534	61.950121
5655	6150.435351	64.809636	-12.936080	2.390494	61.605567
5657	6152.503836	64.968820	-12.881281	2.387077	59.964726
5659	6154.570508	65.196282	-12.942576	2.379893	62.310605
5661	6156.636316	65.107095	-12.955731	2.373953	61.482880
5663	6158.703132	64.920548	-12.880708	2.368481	59.437062
5665	6160.771401	64.948607	-12.820190	2.368695	61.347934
5669	6164.912553	64.497327	-12.669544	2.371150	59.202433
5671	6166.984842	64.386344	-12.694837	2.370590	60.396177
5673	6169.057979	64.133221	-12.657339	2.369064	61.614835
5677	6173.210543	63.991233	-12.760187	2.358754	58.815081
5679	6175.287733	63.657483	-12.646230	2.354995	58.607262
5681	6177.363029	63.503667	-12.557653	2.357660	57.624582
5683	6179.436639	63.548951	-12.529493	2.356799	62.042167
5685	6181.507863	63.525438	-12.466677	2.355057	59.953632
5687	6183.576922	63.624820	-12.492964	2.349394	58.514057
5689	6185.643873	63.889749	-12.507232	2.343079	57.469117
5691	6187.709859	64.131635	-12.551187	2.336257	59.451990
5693	6189.775734	64.012185	-12.519387	2.333514	59.610564
5695	6191.843507	63.672625	-12.344904	2.333122	59.450092
5699	6195.983883	63.554840	-12.297758	2.330578	59.315306
5701	6198.055487	63.085219	-12.185096	2.333498	57.995668
5703	6200.128095	63.168588	-12.200443	2.332884	57.805641
5707	6204.279436	62.903733	-12.249050	2.325368	56.694189
5709	6206.356715	62.602133	-12.218563	2.321501	58.471986
5711	6208.433302	62.281295	-12.103279	2.319814	57.645867
5713	6210.507035	62.260401	-12.065364	2.316335	55.352416
5715	6212.579265	62.293210	-12.048067	2.315451	55.317003
5717	6214.649246	62.351585	-11.985800	2.314417	56.149274
5719	6216.716581	62.580583	-12.027487	2.310104	57.181555
5721	6218.782641	62.860672	-12.044344	2.301741	57.415006
5723	6220.848467	62.727541	-11.993093	2.299253	55.972875
5725	6222.915110	62.541310	-11.893835	2.296418	56.542090
5729	6227.054450	62.257766	-11.758738	2.296499	57.516610
5731	6229.125859	62.128937	-11.717104	2.297474	56.895560
5733	6231.198421	61.819814	-11.720811	2.295461	57.127149
5737	6235.348916	61.594270	-11.734005	2.289383	54.937722
5739	6237.426641	61.530923	-11.727259	2.284095	56.551787
5741	6239.503169	61.247597	-11.654262	2.284213	54.698271
5743	6241.577692	61.050469	-11.675040	2.278573	53.664698
5745	6243.650360	60.851279	-11.473134	2.281444	54.233601
5747	6245.720176	61.250218	-11.506706	2.279386	53.695882
5749	6247.788127	61.400814	-11.481677	2.276519	55.797955
5751	6249.854387	61.601771	-11.477601	2.266996	55.752220
5753	6251.919949	61.712837	-11.454604	2.265014	53.251106
5755	6253.986345	61.236946	-11.400173	2.259688	55.844523
5759	6258.124991	61.159714	-11.239283	2.260953	54.182163
5761	6260.196012	60.953052	-11.170557	2.262294	54.277716
5763	6262.268610	60.587630	-11.145424	2.261403	54.006747
5765	6264.343052	60.819760	-11.181397	2.259002	53.411279
5769	6268.496777	60.594186	-11.157348	2.250874	52.552106
5771	6270.573486	60.182811	-11.127559	2.250096	54.121573
5773	6272.648268	60.095315	-11.023968	2.248424	55.144404
5775	6274.720515	59.941727	-10.927430	2.244105	53.315904
5777	6276.790534	59.908960	-10.923826	2.241529	52.730445
5779	6278.858862	60.306395	-10.917684	2.240223	52.205266
5781	6280.924951	60.832940	-10.919100	2.235284	53.309618
5783	6282.990466	60.867250	-10.870848	2.230894	52.911032
5787	6287.124811	60.386251	-10.716077	2.228024	54.549690
5789	6289.194619	59.759441	-10.626807	2.228129	54.155081
5791	6291.265894	60.029341	-10.591715	2.229272	53.289649
5793	6293.338461	60.169214	-10.633181	2.228419	52.209939
5797	6297.489905	59.581297	-10.596080	2.221691	51.005217
5799	6299.566917	59.496524	-10.573614	2.216721	52.155530
5801	6301.643701	59.211891	-10.474972	2.216650	51.004291
5803	6303.718164	58.814751	-10.401757	2.216657	53.573664
5805	6305.790802	59.205942	-10.402047	2.212587	51.865715
5807	6307.860686	59.203243	-10.343140	2.208581	51.277796
5809	6309.928684	59.413032	-10.317483	2.210831	52.122905
